ID,k_fold
12073030,7
10142530,7
12081458,7
10308614,7
12069900,7
12079942,7
11619424,7
11968721,7
12020466,7
12068311,7
12073653,7
12077265,7
12065220,7
12073089,7
12062282,7
12062410,7
11600559,7
10912246,7
12017057,7
12019363,7
12076003,7
11980438,7
10765058,7
10341513,7
12070158,7
11963813,7
12087374,7
10033813,7
10636201,7
12071386,7
12081104,7
11089463,7
12078950,7
12058267,7
10239504,7
12070900,7
12017515,7
12077492,7
10525770,7
12083964,7
12068891,7
10701521,7
11979586,7
12070959,7
12076062,7
12069350,7
11777150,7
12080002,7
12015475,7
12073016,7
12082757,7
12020122,7
12076740,7
10361566,7
12062709,7
12015159,7
11248172,7
11353141,7
11983641,7
12059636,7
10656415,7
12016615,7
12070237,7
12080096,7
12058324,7
12070364,7
12018710,7
10287562,7
10842629,7
12022069,7
12017895,7
11935737,7
10602196,7
10276984,7
11995704,7
12013484,7
12017076,7
12075289,7
12075277,7
11104678,7
10101006,7
11089500,7
11000046,7
12069346,7
12073060,7
11982237,7
12057296,7
11304890,7
12062673,7
11982047,7
12023987,7
12084512,7
10275642,7
11319922,7
12063939,7
12073591,7
12075550,7
10748637,7
11374780,7
12079836,7
11146835,7
12073828,7
10139704,7
10232395,7
11777212,7
10951953,7
12014914,7
12074505,7
11549684,7
11032917,7
11985063,7
12059163,7
12082402,7
12021264,7
10194056,7
11999069,7
12075842,7
12072022,7
12013563,7
12075233,7
12068730,7
11966965,7
10518865,7
10175956,7
10018985,7
11964104,7
12069336,7
11529721,7
10659893,7
11061796,7
12014692,7
12076722,7
12082622,7
12019614,7
12054903,7
12065568,7
12071868,7
10456097,7
12013396,7
10032743,7
10176460,7
12060183,7
12074097,7
10905614,7
12017700,7
10346159,7
12068426,7
12015086,7
12071612,7
12077787,7
10064282,7
10043087,7
12015495,7
11738172,7
10717492,7
10954064,7
11995178,7
12078069,7
10825612,7
11985704,7
12065062,7
12062559,7
12079679,7
10095062,7
10450805,7
12013813,7
12063595,7
10333737,7
10050634,7
10830600,7
12074068,7
10160665,7
12075294,7
12067976,7
11596626,7
12075160,7
12070341,7
12058567,7
10515256,7
12068386,7
11053324,7
11179478,7
11286406,7
10774409,7
11963087,7
11980719,7
12069980,7
12077814,7
12023792,7
12058609,7
12070652,7
11090002,7
11166204,7
12064987,7
11964983,7
12071948,7
10868982,7
12065047,7
12077109,7
10372976,7
12080953,7
12084236,7
12070433,7
12070694,7
12015017,7
10094037,7
12058251,7
11011290,7
10373757,7
12012980,7
10090344,7
11965410,7
12077746,7
12071034,7
11679870,7
12075525,7
10287968,7
12060628,7
12078202,7
12074959,7
12074837,7
12016639,7
11068886,7
12017096,7
12060606,7
10144166,7
10064966,7
11370527,7
10510014,7
12067671,7
12081314,7
10878112,7
12079506,7
12067445,7
12084032,7
12019990,7
11070384,7
12059897,7
10340740,7
12013319,7
12066928,7
10834161,7
11986246,7
12012661,7
11046002,7
12006942,7
12066970,7
11982043,7
12017913,7
12076248,7
12050727,7
11986477,7
11985665,7
10694456,7
12058652,7
12063069,7
10669930,7
12056082,7
12075878,7
11522621,7
12072916,7
11964086,7
12085651,7
12023116,7
10567720,7
11639254,7
12084705,7
11995079,7
12078261,7
10736551,7
11774515,7
11811198,7
11245661,7
10287338,7
12069013,7
12013870,7
12012908,7
11978337,7
11979829,7
11967440,7
10948971,7
12058223,7
12075017,7
11980285,7
10064059,7
10547070,7
10257303,7
12014707,7
12075624,7
10160257,7
10250841,7
12074005,7
11985946,7
12064934,7
12058606,7
10865852,7
12072633,7
11929685,7
12060139,7
11348439,7
11992823,7
11899727,7
12025460,7
10095371,7
12013101,7
12018755,7
10437700,7
12061299,7
12059484,7
12016520,7
11733234,7
12068064,7
11226286,7
10054193,7
11985033,7
12012720,7
10210713,7
12062199,7
11981664,7
11662468,7
12078094,7
11979840,7
12081656,7
10017784,7
11963499,7
12020426,7
12022289,7
12066560,7
11658061,7
11699527,7
12077836,7
12061615,7
12076676,7
12077764,7
12015033,7
10062792,7
12051491,7
11005788,7
11598326,7
11978109,7
12060619,7
12060349,7
12081129,7
11981495,7
12060040,7
12067743,7
11979330,7
10443974,7
11109732,7
12075658,7
12073650,7
10386361,7
11174097,7
11565125,7
11232231,7
10470688,7
11662947,7
12020292,7
12069477,7
12077999,7
11646814,7
12070949,7
12061306,7
11993383,7
10651880,7
12081234,7
11147253,7
11973655,7
11866344,7
12058860,7
12078213,7
12071908,7
10871374,7
12071348,7
11770585,7
12022109,7
12077062,7
10488318,7
11981058,7
12017568,7
10203555,7
10458703,7
12084692,7
11364854,7
12069367,7
10100390,7
11074358,7
11964028,7
12073137,7
12081151,7
12018389,7
10317476,7
10184594,7
11964625,7
11984450,7
12076774,7
12040322,7
11978134,7
11284895,7
10185400,7
10470842,7
11964449,7
10919238,7
11963383,7
12059310,7
12060512,7
12060511,7
12081315,7
12014710,7
12017572,7
11966002,7
12073682,7
10995685,7
11302478,7
12058694,7
12063923,7
12069073,7
11855018,7
12058984,7
12081171,7
11047565,7
12082243,7
11995213,7
11770414,7
12070923,7
12059579,7
